"component_name","component_description","risk_level","tNet","tDBD","tDBA","tDesing","tReact","tDevOps"

"SPA Web Application","Single Page Application providing end-user UI for all modules"
"Authentication/Authorization","Handles SSO, role-based access, and permissions using claims-based auth integrated with external Identity Management (OAuth/SAML)","High",12,0,0,3,10,3
"Prefixes Branch","Displays and manages Prefix data, including capacity counters and linking to product/location creation","Medium",8,0,0,3,10,2
"Product Branch","Create/manage product records (GINs), images, hierarchies, barcodes, and exports","High",15,0,0,4,14,3
"Location Branch","Create/manage location records (LNs), hierarchies, verification, and exports","High",15,0,0,4,14,3
"Search/Reporting Branch","End-user search, filters, saved views, and report launchers","Medium",8,0,0,3,10,2
"Help/Tutorials Branch","Contextual help, tutorials, and training links embedded in SPA","Low",4,0,0,4,8,1
"Dashboard/Notifications","User start screen with alerts, tasks, counters, and shortcuts","Medium",8,0,0,4,12,2
"Workflow Management","Record approval, status tracking, and locking UX","High",12,0,0,4,12,2
"Publishing & Subscriptions","UI to publish/share data and manage subscriptions","Medium",10,0,0,3,10,2
"Import/Export","Bulk import/export UX with progress, validation, and error review","Medium",10,0,0,3,10,2
"Feedback Module","Capture user feedback, ratings, and route to admins","Low",6,0,0,2,8,1
"Audit Trail Viewer","Display record history and change logs","Medium",8,0,0,2,8,1
"Sidecar Utility Service (Frontend)","Shared client-side utilities (logging hooks, health pings, feature flags)","Low",4,0,0,1,6,1

"Prefix Management Service","Handles prefix licensing, capacity tracking, and lookup for GIN/LN creation"
"Prefix Store","CRUD operations for company prefixes and metadata","Medium",12,6,3,0,0,2
"Capacity Tracker","Tracks usage and available capacity per prefix","Medium",10,4,2,0,0,2
"Prefix Validator","Validates prefix format and compliance rules","Medium",8,2,0,0,0,1
"Prefix Publish & Subscribe Engine","Manages visibility and sharing of prefix data","Medium",10,2,0,0,0,2
"Prefix Search Service","Advanced search and filtering for prefix data","Medium",8,2,0,0,0,1
"Prefix Import/Export Adapter","Bulk import/export of prefix records","Medium",8,2,0,0,0,2
"SQL Database (Prefix)","Prefix management schema and persistence","Medium",4,8,6,0,0,3
"Key Vault Reader","Secure retrieval of secrets/credentials","Low",3,0,0,0,0,1

"GIN Management Service","Manages creation, editing, hierarchy, sharing of GINs and product metadata"
"GIN Store","CRUD for product records and GINs","High",14,6,3,0,0,2
"GIN Assignment Engine","Auto/manual assignment with check-digit","High",12,4,2,0,0,2
"GIN Validator","Validates GINs and product attributes","Medium",8,3,0,0,0,1
"Hierarchy Manager (GIN)","Build/manage product hierarchies","High",12,4,0,0,0,2
"Image Attachment Service","Upload and manage product images","Medium",8,2,0,0,0,1
"Export & Sheet Generator","Generate product sheets and barcodes","Medium",10,2,0,0,0,2
"Barcode Generator","Create standard-compliant barcodes (PNG/SVG/PDF)","Medium",8,0,0,0,0,1
"Publish & Transfer Module","Publishing and ownership transfer","Medium",8,2,0,0,0,2
"GIN Import Adapter","Import via Excel/CSV/XML with dedupe","Medium",8,2,0,0,0,2
"SQL Database (GIN)","Product/Gin schema and persistence","Medium",4,8,6,0,0,3
"Key Vault Reader","Secrets for image/barcode/export services","Low",3,0,0,0,0,1

"Location Management Service","Manages creation, editing, hierarchy, sharing of LNs and location metadata"
"Location Store","CRUD for location records and LNs","High",14,6,3,0,0,2
